transaction_id,transaction_date,raw_description,amount,raw_vendor,true_category,currency
TXN-000033,2025-08-12,RDS MySQL database - db.r5.xlarge,2735.51,IBM CLOUD,cloud,USD
TXN-000034,2025-03-05,Agile transformation coaching - 3 teams - [INITIATIVE-BETA],190096.36,Accenture LLP,consulting,USD
TXN-000035,2024-08-31,Zoom Business Pro - 500 participants - [WORKSTREAM-GAMMA],8836.8,JetBrains s.r.o.,software,USD
TXN-000036,2024-12-29,Zoom Business Pro - 500 participants - Q4 budget spend,4035.91,Atlassian Corp,software,USD
TXN-000037,2025-05-29,AWS EC2 t3.large instances - us-east-1 - REF:72277,1437.6,DigitalOcean LLC,cloud,USD
TXN-000038,2024-09-11,Uber for Business - monthly corporate account,631.01,Delta Air Lines,travel,USD
TXN-000039,2025-06-05,United domestic flights - consultant travel - summer initiative,1348.24,Marriott Hotels,travel,USD
TXN-000040,2024-12-27,Dell OptiPlex 7090 desktops - IT department,8120.89,Best Buy Business,office,USD
TXN-000041,2024-12-08,Atlassian JIRA Software - 100 users - annual renewal,2680.69,DocuSign Inc,software,USD
TXN-000042,2025-04-29,Data governance framework implementation,9148.68,Deloitte Consulting,consulting,USD
TXN-000043,2024-11-10,Lenovo ThinkPad laptops - new employee setup,1379.4,Costco Wholesale,office,USD
TXN-000044,2024-09-04,Agile transformation coaching - 3 teams,41150.16,BCG Inc,consulting,USD
TXN-000045,2025-07-01,Uber for Business - monthly corporate account - summer initiative,216.18,Hilton Hotels,travel,USD
TXN-000046,2025-03-23,Network switches - Cisco Catalyst 48-port,1317.11,Amazon Business,office,USD
TXN-000047,2025-04-20,CloudFront CDN bandwidth - 10TB transfer,5006.22,IBM CLOUD,cloud,USD
TXN-000048,2024-09-04,Digital transformation strategy - Phase 1 - [Q4-MIGRATION],52280.14,McKinsey & Co,consulting,USD
TXN-000049,2025-02-01,Business process reengineering - finance dept - for Legal dept,113994.66,Accenture LLP,consulting,USD
TXN-000050,2024-11-13,Delta business class - executive team offsite - for R&D dept,2964.46,Uber Technologies,travel,USD
TXN-000051,2024-08-15,Dell OptiPlex 7090 desktops - IT department,1405.47,Staples Inc,office,USD
TXN-000052,2024-10-13,Atlassian JIRA Software - 100 users - for Marketing dept,2921.78,Slack Technologies,software,USD
TXN-000053,2025-05-11,Delta business class - executive team offsite,1540.07,Hilton Hotels,travel,USD
TXN-000054,2024-11-01,DocuSign Business Pro - 1000 envelopes/month - [Q4-MIGRATION],6712.26,Slack Technologies,software,USD
TXN-000055,2025-02-05,Lambda function executions - 2M invocations,13205.5,GOOG CLOUD,cloud,USD
TXN-000056,2025-03-04,Office 365 E5 licenses - 250 users,381.14,Atlassian Corp,software,USD
TXN-000057,2024-10-11,Cybersecurity risk assessment and remediation - [INITIATIVE-BETA],165573.13,McKinsey & Co,consulting,USD
TXN-000058,2025-06-09,Uber for Business - monthly corporate account - mid-year refresh,5766.79,Delta Air Lines,travel,USD
TXN-000059,2024-12-04,AWS EC2 t3.large instances - us-east-1 - Q4 budget spend,4605.24,GOOG CLOUD,cloud,USD
TXN-000060,2024-09-30,Adobe Creative Cloud for Teams - 50 seats,20288.87,Microsoft Corp,software,USD
TXN-000061,2025-03-30,Zoom Business Pro - 500 participants - INVOICE-41439,348.41,Slack Technologies,software,USD
TXN-000062,2025-03-21,Lenovo ThinkPad laptops - new employee setup - [EXPANSION-EU],5777.71,CDW Corporation,office,USD
TXN-000063,2025-07-07,Ergonomic office chairs - Herman Miller Aeron x12 - H1 completion,295.05,Staples Inc,office,USD
TXN-000064,2024-11-29,"Conference room whiteboards - interactive 75""",1260.23,Staples Inc,office,USD
TXN-000065,2025-08-02,DocuSign Business Pro - 1000 envelopes/month - [DIGITAL-TRANSFORM],24238.22,Slack Technologies,software,USD
TXN-000066,2025-01-15,Atlassian JIRA Software - 100 users - Q4 budget spend,498.78,Adobe Inc,software,USD
TXN-000067,2025-01-18,Network switches - Cisco Catalyst 48-port - Q4 budget spend,66.51,Best Buy Business,office,USD
TXN-000068,2024-09-26,Standing desks - adjustable height x15 - for Operations dept,1796.1,Costco Wholesale,office,USD
TXN-000069,2024-08-14,Dell OptiPlex 7090 desktops - IT department - REF:11792,268.12,CDW Corporation,office,USD
TXN-000070,2024-11-25,Lenovo ThinkPad laptops - new employee setup - #73242,884.93,Staples Inc,office,USD
TXN-000071,2025-02-19,United domestic flights - consultant travel,1100.32,Hilton Hotels,travel,USD
TXN-000072,2024-12-27,Slack Pro workspace - unlimited history,3141.22,Zoom Video,software,USD
TXN-000073,2024-10-24,Standing desks - adjustable height x15 - INV-63841,469.78,Costco Wholesale,office,USD
TXN-000074,2025-06-09,"Conference room whiteboards - interactive 75"" - summer initiative",406.58,CDW Corporation,office,USD
TXN-000075,2025-05-25,AWS EC2 t3.large instances - us-east-1 - [EXPANSION-EU],10450.64,Oracle Corp,cloud,USD
TXN-000076,2024-12-06,DocuSign Business Pro - 1000 envelopes/month,24082.79,DocuSign Inc,software,USD
TXN-000077,2025-06-22,Business process reengineering - finance dept - [WORKSTREAM-GAMMA],170046.21,KPMG Services,consulting,USD
TXN-000078,2025-05-12,Adobe Creative Cloud for Teams - 50 seats - [WORKSTREAM-GAMMA],15623.33,Atlassian Corp,software,USD
TXN-000079,2025-03-18,Agile transformation coaching - 3 teams - BILL-67898,42574.23,BCG Inc,consulting,USD
TXN-000080,2024-12-19,Atlassian JIRA Software - 100 users - Q4 budget spend,1396.48,JetBrains s.r.o.,software,USD
TXN-000081,2024-10-06,Lenovo ThinkPad laptops - new employee setup,53.64,Amazon Business,office,USD
TXN-000082,2024-12-22,DocuSign Business Pro - 1000 envelopes/month - annual renewal,12046.42,DocuSign Inc,software,USD
TXN-000083,2025-02-26,Lenovo ThinkPad laptops - new employee setup - for Legal dept,2330.9,Staples Inc,office,USD
TXN-000084,2025-03-14,Uber for Business - monthly corporate account,2627.04,Hilton Hotels,travel,USD
TXN-000085,2024-09-01,Standing desks - adjustable height x15 - for IT dept,13321.69,Staples Inc,office,USD
TXN-000086,2024-01-20,Slack Pro workspace - unlimited history - Q4 budget spend,12429.47,Slack Technologies,software,USD
TXN-000087,2025-06-14,Office 365 E5 licenses - 250 users - INVOICE-80457,1129.0,Zoom Video,software,USD
TXN-000088,2024-10-01,Delta business class - executive team offsite - for R&D dept,2747.91,Enterprise Rent-A-Car,travel,USD
TXN-000089,2024-09-16,HP LaserJet Pro printers - floor 3 & 4,11228.16,Office Depot,office,USD
TXN-000090,2025-02-23,Azure Storage Account - blob storage 500GB,475.74,Salesforce.com,cloud,USD
TXN-000091,2025-02-25,Data governance framework implementation - [WORKSTREAM-GAMMA],13298.18,Deloitte Consulting,consulting,USD
TXN-000092,2025-06-06,Digital transformation strategy - Phase 1 - summer initiative,7506.54,PwC Advisory,consulting,USD
TXN-000093,2024-12-26,Kubernetes cluster - 5 worker nodes - year-end procurement,4919.56,MSFT AZURE,cloud,USD
TXN-000094,2025-01-19,Delta business class - executive team offsite,2920.86,United Airlines,travel,USD
TXN-000095,2024-09-22,RDS MySQL database - db.r5.xlarge - [AI-PILOT],10145.26,AMZN WEB SVCS,cloud,USD
TXN-000096,2024-09-13,Network switches - Cisco Catalyst 48-port,11421.35,Best Buy Business,office,USD
TXN-000097,2025-01-06,HP LaserJet Pro printers - floor 3 & 4 - annual renewal,1496.83,Amazon Business,office,USD
TXN-000098,2025-02-03,Kubernetes cluster - 5 worker nodes - [WORKSTREAM-GAMMA],9641.6,AMZN WEB SVCS,cloud,USD
TXN-000099,2025-07-17,Google Cloud Run - container deployment - [DIGITAL-TRANSFORM],20754.83,IBM CLOUD,cloud,USD
TXN-000100,2024-10-29,DocuSign Business Pro - 1000 envelopes/month,322.51,DocuSign Inc,software,USD
TXN-000101,2025-05-12,Enterprise car rental - client site visits Chicago,565.4,American Airlines,travel,USD
TXN-000102,2024-01-03,Zoom Business Pro - 500 participants - year-end procurement,4414.38,Atlassian Corp,software,USD
TXN-000103,2025-05-25,Adobe Creative Cloud for Teams - 50 seats - for IT dept,388.64,Atlassian Corp,software,USD
TXN-000104,2025-02-17,Standing desks - adjustable height x15 - REF:98895,248.92,Best Buy Business,office,USD
TXN-000105,2025-06-03,Data governance framework implementation - mid-year refresh,14844.46,BCG Inc,consulting,USD
TXN-000106,2025-07-07,Standing desks - adjustable height x15 - mid-year refresh,1750.66,Best Buy Business,office,USD
TXN-000107,2024-01-11,Adobe Creative Cloud for Teams - 50 seats,2319.9,Slack Technologies,software,USD
TXN-000108,2025-01-22,DocuSign Business Pro - 1000 envelopes/month - year-end procurement,976.38,Microsoft Corp,software,USD
TXN-000109,2025-05-29,Marriott downtown Seattle - tech conference 3 nights,4755.5,Hilton Hotels,travel,USD
TXN-000110,2024-10-20,Lambda function executions - 2M invocations - [COST-OPTIMIZE],15887.2,MSFT AZURE,cloud,USD
TXN-000111,2024-11-26,Ergonomic office chairs - Herman Miller Aeron x12 - INV-69233,2490.82,Costco Wholesale,office,USD
TXN-000112,2025-07-22,Delta business class - executive team offsite - summer initiative,5771.58,Hilton Hotels,travel,USD
TXN-000113,2024-11-17,RDS MySQL database - db.r5.xlarge,1754.42,Oracle Corp,cloud,USD
TXN-000114,2025-07-10,Atlassian JIRA Software - 100 users - mid-year refresh,16957.72,JetBrains s.r.o.,software,USD
TXN-000115,2025-01-24,Adobe Creative Cloud for Teams - 50 seats - BILL-59372,11996.42,Microsoft Corp,software,USD
TXN-000116,2025-05-12,Azure Storage Account - blob storage 500GB - for HR dept,4805.18,Salesforce.com,cloud,USD
TXN-000117,2024-09-08,Google Cloud Run - container deployment,1202.14,Oracle Corp,cloud,USD
TXN-000118,2025-05-20,Uber for Business - monthly corporate account - INVOICE-57749,6464.23,Marriott Hotels,travel,USD
TXN-000119,2025-02-05,Agile transformation coaching - 3 teams - for Marketing dept,7391.68,PwC Advisory,consulting,USD
TXN-000120,2024-09-18,Business process reengineering - finance dept - [COST-OPTIMIZE],6996.98,EY Consulting,consulting,USD
TXN-000121,2025-06-27,Adobe Creative Cloud for Teams - 50 seats,405.25,Microsoft Corp,software,USD
TXN-000122,2025-02-02,Dell OptiPlex 7090 desktops - IT department - BILL-22987,228.4,Staples Inc,office,USD
TXN-000123,2025-08-10,Ergonomic office chairs - Herman Miller Aeron x12 - REF:29597,8629.32,CDW Corporation,office,USD
TXN-000124,2024-09-19,Kubernetes cluster - 5 worker nodes,3457.48,DigitalOcean LLC,cloud,USD
TXN-000125,2025-03-16,Delta business class - executive team offsite - INVOICE-56244,209.86,Hilton Hotels,travel,USD
TXN-000126,2024-11-02,Round-trip flights SFO-NYC - Q4 board meeting,5536.64,United Airlines,travel,USD
TXN-000127,2025-06-20,DocuSign Business Pro - 1000 envelopes/month - H1 completion,11896.05,Zoom Video,software,USD
TXN-000128,2025-07-25,HP LaserJet Pro printers - floor 3 & 4 - INV-36144,837.13,CDW Corporation,office,USD
TXN-000129,2025-07-19,United domestic flights - consultant travel - for Legal dept,2457.24,Marriott Hotels,travel,USD
TXN-000130,2024-11-20,HP LaserJet Pro printers - floor 3 & 4,967.04,Costco Wholesale,office,USD
TXN-000131,2025-06-21,AWS EC2 t3.large instances - us-east-1 - H1 completion,6845.22,IBM CLOUD,cloud,USD
TXN-000132,2024-10-02,Business process reengineering - finance dept - [DIGITAL-TRANSFORM],41827.78,KPMG Services,consulting,USD
TXN-000133,2024-08-30,DocuSign Business Pro - 1000 envelopes/month,420.44,Slack Technologies,software,USD
TXN-000134,2025-02-04,Atlassian JIRA Software - 100 users - [EXPANSION-EU],17101.9,Atlassian Corp,software,USD
TXN-000135,2025-01-26,Slack Pro workspace - unlimited history - #44116,211.48,Zoom Video,software,USD
TXN-000136,2024-12-28,Digital transformation strategy - Phase 1 - annual renewal,96582.05,Deloitte Consulting,consulting,USD
TXN-000137,2024-11-25,Adobe Creative Cloud for Teams - 50 seats - for Marketing dept,163.0,DocuSign Inc,software,USD
TXN-000138,2024-12-10,"Conference room whiteboards - interactive 75"" - year-end procurement",2710.62,Best Buy Business,office,USD
TXN-000139,2024-11-03,Zoom Business Pro - 500 participants,129.67,Zoom Video,software,USD
TXN-000140,2025-05-26,Cybersecurity risk assessment and remediation - BILL-39552,178923.85,BCG Inc,consulting,USD
TXN-000141,2025-03-10,RDS MySQL database - db.r5.xlarge - [AI-PILOT],12665.67,GOOG CLOUD,cloud,USD
TXN-000142,2025-07-29,Round-trip flights SFO-NYC - Q4 board meeting,741.2,Enterprise Rent-A-Car,travel,USD
TXN-000143,2024-09-18,HP LaserJet Pro printers - floor 3 & 4,1745.1,Best Buy Business,office,USD
TXN-000144,2024-12-08,Standing desks - adjustable height x15,2221.53,Amazon Business,office,USD
TXN-000145,2024-01-09,IntelliJ IDEA Ultimate - developer licenses,2167.43,JetBrains s.r.o.,software,USD
TXN-000146,2025-03-05,Dell OptiPlex 7090 desktops - IT department - [WORKSTREAM-GAMMA],12761.73,Office Depot,office,USD
TXN-000147,2025-04-24,"Conference room whiteboards - interactive 75""",90.52,Staples Inc,office,USD
TXN-000148,2025-02-06,Network switches - Cisco Catalyst 48-port - for IT dept,2617.93,Amazon Business,office,USD
TXN-000149,2024-01-05,Office 365 E5 licenses - 250 users,14007.09,Slack Technologies,software,USD
TXN-000150,2024-08-12,Cybersecurity risk assessment and remediation - for Operations dept,10091.23,PwC Advisory,consulting,USD
TXN-000151,2024-11-26,Data governance framework implementation - [AI-PILOT],59359.16,BCG Inc,consulting,USD
TXN-000152,2024-09-24,Office 365 E5 licenses - 250 users,16674.04,Atlassian Corp,software,USD
TXN-000153,2025-05-29,United domestic flights - consultant travel - for R&D dept,2183.86,Marriott Hotels,travel,USD
TXN-000154,2024-10-03,Standing desks - adjustable height x15 - [PROJECT-ALPHA],5446.7,Amazon Business,office,USD
TXN-000155,2024-11-06,Enterprise car rental - client site visits Chicago,1181.0,Marriott Hotels,travel,USD
TXN-000156,2024-12-25,Atlassian JIRA Software - 100 users - annual renewal,4808.02,Slack Technologies,software,USD
TXN-000157,2024-11-07,IntelliJ IDEA Ultimate - developer licenses,473.48,Slack Technologies,software,USD
TXN-000158,2024-12-21,Atlassian JIRA Software - 100 users - year-end procurement,10752.61,DocuSign Inc,software,USD
TXN-000159,2025-04-19,CloudFront CDN bandwidth - 10TB transfer - [Q4-MIGRATION],8863.01,Oracle Corp,cloud,USD
TXN-000160,2024-12-11,CloudFront CDN bandwidth - 10TB transfer,2526.62,Oracle Corp,cloud,USD
TXN-000161,2025-05-15,Lambda function executions - 2M invocations,946.37,Salesforce.com,cloud,USD
TXN-000162,2025-07-24,Ergonomic office chairs - Herman Miller Aeron x12 - INV-89007,2372.51,Costco Wholesale,office,USD
TXN-000163,2025-03-26,Marriott downtown Seattle - tech conference 3 nights,2864.83,Hilton Hotels,travel,USD
TXN-000164,2024-10-26,Lenovo ThinkPad laptops - new employee setup - for Legal dept,965.5,CDW Corporation,office,USD
TXN-000165,2024-12-11,HP LaserJet Pro printers - floor 3 & 4 - Q4 budget spend,197.57,Best Buy Business,office,USD
TXN-000166,2025-07-12,Zoom Business Pro - 500 participants - H1 completion,3077.95,Atlassian Corp,software,USD
TXN-000167,2025-06-05,Lambda function executions - 2M invocations - BILL-89395,1390.97,Salesforce.com,cloud,USD
TXN-000168,2025-07-02,Hilton Garden Inn - sales team training week - H1 completion,4237.33,Uber Technologies,travel,USD
TXN-000169,2025-05-28,Azure Storage Account - blob storage 500GB - [COST-OPTIMIZE],11436.67,AMZN WEB SVCS,cloud,USD
TXN-000170,2024-12-22,RDS MySQL database - db.r5.xlarge - year-end procurement,1861.63,Oracle Corp,cloud,USD
TXN-000171,2025-07-13,Digital transformation strategy - Phase 1,162548.11,PwC Advisory,consulting,USD
TXN-000172,2025-02-01,Ergonomic office chairs - Herman Miller Aeron x12,1456.2,Amazon Business,office,USD
TXN-000173,2025-01-23,Hilton Garden Inn - sales team training week,3892.37,Delta Air Lines,travel,USD
TXN-000174,2025-04-08,Standing desks - adjustable height x15,373.59,CDW Corporation,office,USD
TXN-000175,2025-04-11,Azure Storage Account - blob storage 500GB - INV-87849,1252.32,AMZN WEB SVCS,cloud,USD
TXN-000176,2025-06-02,Cloud migration strategy and roadmap,5442.37,KPMG Services,consulting,USD
TXN-000177,2025-03-25,Office 365 E5 licenses - 250 users,220.71,Adobe Inc,software,USD
TXN-000178,2024-09-17,Agile transformation coaching - 3 teams - [COMPLIANCE-2024],48351.04,KPMG Services,consulting,USD
TXN-000179,2024-01-26,IntelliJ IDEA Ultimate - developer licenses,173.55,JetBrains s.r.o.,software,USD
TXN-000180,2025-07-03,Delta business class - executive team offsite,4016.68,Hilton Hotels,travel,USD
TXN-000181,2025-05-08,Kubernetes cluster - 5 worker nodes,690.32,GOOG CLOUD,cloud,USD
TXN-000182,2025-04-26,Marriott downtown Seattle - tech conference 3 nights - for Legal dept,487.64,Delta Air Lines,travel,USD
TXN-000183,2025-01-30,Delta business class - executive team offsite - Q4 budget spend,2813.28,Enterprise Rent-A-Car,travel,USD
TXN-000184,2025-04-30,HP LaserJet Pro printers - floor 3 & 4,2953.3,Costco Wholesale,office,USD
TXN-000185,2025-05-26,Azure Storage Account - blob storage 500GB - INVOICE-84683,5296.21,GOOG CLOUD,cloud,USD
TXN-000186,2025-02-13,Adobe Creative Cloud for Teams - 50 seats,4849.29,DocuSign Inc,software,USD
TXN-000187,2025-07-19,Kubernetes cluster - 5 worker nodes - mid-year refresh,24068.2,Oracle Corp,cloud,USD
TXN-000188,2024-10-01,Lambda function executions - 2M invocations - REF:79758,18503.2,MSFT AZURE,cloud,USD
TXN-000189,2025-06-19,Round-trip flights SFO-NYC - Q4 board meeting - H1 completion,210.29,United Airlines,travel,USD
TXN-000190,2024-01-10,Zoom Business Pro - 500 participants,13120.55,DocuSign Inc,software,USD
TXN-000191,2024-08-18,Azure Storage Account - blob storage 500GB,693.04,IBM CLOUD,cloud,USD
TXN-000192,2024-10-26,Lambda function executions - 2M invocations - [DIGITAL-TRANSFORM],23321.64,Oracle Corp,cloud,USD
TXN-000193,2025-01-21,Digital transformation strategy - Phase 1 - REF:41519,148379.51,EY Consulting,consulting,USD
TXN-000194,2024-12-02,Office 365 E5 licenses - 250 users - BILL-19963,24769.56,JetBrains s.r.o.,software,USD
TXN-000195,2025-04-18,HP LaserJet Pro printers - floor 3 & 4,1183.32,Amazon Business,office,USD
TXN-000196,2025-04-08,Agile transformation coaching - 3 teams - #30214,37804.36,KPMG Services,consulting,USD
TXN-000197,2025-06-21,Adobe Creative Cloud for Teams - 50 seats - mid-year refresh,523.38,Atlassian Corp,software,USD
TXN-000198,2025-01-27,AWS EC2 t3.large instances - us-east-1 - annual renewal,2104.92,AMZN WEB SVCS,cloud,USD
TXN-000199,2025-03-28,Delta business class - executive team offsite - #31916,1637.61,Hilton Hotels,travel,USD
TXN-000200,2024-01-05,Atlassian JIRA Software - 100 users - annual renewal,14916.05,Atlassian Corp,software,USD
TXN-000201,2025-06-04,HP LaserJet Pro printers - floor 3 & 4 - mid-year refresh,10812.44,Amazon Business,office,USD
TXN-000202,2025-04-10,HP LaserJet Pro printers - floor 3 & 4 - for Operations dept,8892.09,Amazon Business,office,USD
TXN-000203,2025-04-27,Business process reengineering - finance dept,165901.67,KPMG Services,consulting,USD
TXN-000204,2025-05-26,Lenovo ThinkPad laptops - new employee setup - for Operations dept,5904.25,CDW Corporation,office,USD
TXN-000205,2025-02-09,Uber for Business - monthly corporate account,754.1,Hilton Hotels,travel,USD
TXN-000206,2024-10-03,AWS EC2 t3.large instances - us-east-1,14035.15,AMZN WEB SVCS,cloud,USD
TXN-000207,2024-10-19,CloudFront CDN bandwidth - 10TB transfer,20696.5,AMZN WEB SVCS,cloud,USD
TXN-000208,2025-03-14,Delta business class - executive team offsite,500.28,Enterprise Rent-A-Car,travel,USD
TXN-000209,2025-02-15,Business process reengineering - finance dept - [INITIATIVE-BETA],42319.96,Accenture LLP,consulting,USD
TXN-000210,2024-08-31,Kubernetes cluster - 5 worker nodes - for HR dept,1124.01,DigitalOcean LLC,cloud,USD
TXN-000211,2025-01-03,Standing desks - adjustable height x15 - Q4 budget spend,5236.64,Office Depot,office,USD
TXN-000212,2024-10-21,Ergonomic office chairs - Herman Miller Aeron x12,367.13,Staples Inc,office,USD
TXN-000213,2024-09-19,Atlassian JIRA Software - 100 users,1012.8,Atlassian Corp,software,USD
TXN-000214,2024-08-16,United domestic flights - consultant travel - [DIGITAL-TRANSFORM],6086.81,American Airlines,travel,USD
TXN-000215,2025-01-26,Lambda function executions - 2M invocations - year-end procurement,19788.42,MSFT AZURE,cloud,USD
TXN-000216,2024-09-29,Round-trip flights SFO-NYC - Q4 board meeting,1108.65,Delta Air Lines,travel,USD
TXN-000217,2024-12-02,Standing desks - adjustable height x15 - [EXPANSION-EU],9738.98,Office Depot,office,USD
TXN-000218,2024-11-10,Enterprise car rental - client site visits Chicago,677.53,American Airlines,travel,USD
TXN-000219,2024-11-08,United domestic flights - consultant travel,1051.25,Hilton Hotels,travel,USD
TXN-000220,2025-04-08,HP LaserJet Pro printers - floor 3 & 4,11831.86,Best Buy Business,office,USD
TXN-000221,2024-08-25,HP LaserJet Pro printers - floor 3 & 4,12728.43,Staples Inc,office,USD
TXN-000222,2025-03-16,Enterprise car rental - client site visits Chicago,3841.89,United Airlines,travel,USD
TXN-000223,2025-07-13,Enterprise car rental - client site visits Chicago - summer initiative,1098.3,Enterprise Rent-A-Car,travel,USD
TXN-000224,2025-03-28,Zoom Business Pro - 500 participants,199.02,DocuSign Inc,software,USD
TXN-000225,2024-12-23,Lambda function executions - 2M invocations - Q4 budget spend,3308.47,IBM CLOUD,cloud,USD
TXN-000226,2024-12-02,Google Cloud Run - container deployment - BILL-47171,894.75,DigitalOcean LLC,cloud,USD
TXN-000227,2024-01-15,IntelliJ IDEA Ultimate - developer licenses,706.74,Zoom Video,software,USD
TXN-000228,2024-12-22,Zoom Business Pro - 500 participants,4444.68,Adobe Inc,software,USD
TXN-000229,2025-06-06,"Conference room whiteboards - interactive 75"" - mid-year refresh",91.04,CDW Corporation,office,USD
TXN-000230,2025-06-21,Ergonomic office chairs - Herman Miller Aeron x12,7596.84,CDW Corporation,office,USD
TXN-000231,2024-10-04,Agile transformation coaching - 3 teams - [WORKSTREAM-GAMMA],14929.4,KPMG Services,consulting,USD
TXN-000232,2025-06-02,Network switches - Cisco Catalyst 48-port - summer initiative,358.95,Best Buy Business,office,USD
TXN-000233,2024-10-05,Cybersecurity risk assessment and remediation - [PROJECT-ALPHA],150124.88,Accenture LLP,consulting,USD
TXN-000234,2024-12-02,Standing desks - adjustable height x15,340.78,Amazon Business,office,USD
TXN-000235,2024-12-14,DocuSign Business Pro - 1000 envelopes/month,13417.27,Adobe Inc,software,USD
TXN-000236,2024-08-18,Standing desks - adjustable height x15 - REF:80328,2281.57,Best Buy Business,office,USD
TXN-000237,2025-01-24,RDS MySQL database - db.r5.xlarge,7833.04,Oracle Corp,cloud,USD
TXN-000238,2025-05-15,AWS EC2 t3.large instances - us-east-1 - [PROJECT-ALPHA],19323.35,IBM CLOUD,cloud,USD
TXN-000239,2025-03-28,Uber for Business - monthly corporate account,669.79,Hilton Hotels,travel,USD
TXN-000240,2024-10-21,CloudFront CDN bandwidth - 10TB transfer - [INITIATIVE-BETA],9085.82,GOOG CLOUD,cloud,USD
TXN-000241,2024-01-02,DocuSign Business Pro - 1000 envelopes/month - [PROJECT-ALPHA],16478.25,Adobe Inc,software,USD
TXN-000242,2025-04-07,Delta business class - executive team offsite,2429.46,Uber Technologies,travel,USD
TXN-000243,2025-04-20,Kubernetes cluster - 5 worker nodes - for Marketing dept,684.65,Oracle Corp,cloud,USD
TXN-000244,2024-12-19,DocuSign Business Pro - 1000 envelopes/month - INVOICE-91620,437.94,DocuSign Inc,software,USD
TXN-000245,2025-01-15,Digital transformation strategy - Phase 1 - [Q4-MIGRATION],14004.43,KPMG Services,consulting,USD
TXN-000246,2024-01-14,IntelliJ IDEA Ultimate - developer licenses - annual renewal,2193.24,Microsoft Corp,software,USD
